모델명,제조사,유종,배기량,변속형식,복합연비,등급,배출량(CO2),자동차유형
볼보 XC60B5 AWD,볼보,휘발유,1969,자동8,9.8,4등급,173,다목적형
짚 랭글러 아일랜더,크라이슬러,휘발유,1995,자동8,9,5등급,193,다목적형
레인지로버 스포츠 SVR,랜드로버,휘발유,4999,자동8,6.1,5등급,284,다목적형
캐딜락 Escalade,GM,휘발유,6162,자동10,6.5,5등급,269,다목적형
토요타 Sienna Hybrid AWD,토요타,휘발유,2487,무단변속,13.7,3등급,117,기타형
토요타 Sienna Hybrid 2WD,토요타,휘발유,2487,무단변속,14.5,2등급,109,기타형
Grand C4 Spacetourer 1.5 BlueHDi,PSA Automobiles,경유,1499,자동8,15.2,2등급,123,일반형
DS3 Crossback 1.5 BlueHDi,PSA Automobiles,경유,1499,자동8,15.7,2등급,119,다목적형
포트로 픽업(HMT-250P),(주)디피코,전기,,없음,4.2,고속(전기),0,기타형
포트로 탑(HMT-250T),(주)디피코,전기,,없음,4.2,고속(전기),0,기타형
GR Supra,토요타,휘발유,2998,자동8,10.2,4등급,165,일반형
Mercedes-AMG GLB35 4MATIC,벤츠,휘발유,1991,자동8,9.5,4등급,188,다목적형
Mercedes-AMG C43 4MATIC Coupe,벤츠,휘발유,2996,자동9,8.6,5등급,211,일반형
K8 2.5 GDI 17인치 (빌트인캠),기아,휘발유,2497,자동8,11.9,3등급,141,일반형
K8 2.5 GDI 17인치,기아,휘발유,2497,자동8,12,3등급,140,일반형
K8 2.5 GDI 18인치,기아,휘발유,2497,자동8,11.7,3등급,144,일반형
K8 3.5 GDI 18인치 (빌트인캠),기아,휘발유,3470,자동8,10.5,4등급,162,일반형
K8 3.5 LPI 18인치,기아,LPG,3470,자동8,7.7,5등급,172,일반형
K8 3.5 LPI 17인치,기아,LPG,3470,자동8,8,5등급,166,일반형
K8 3.5 GDI 18인치,기아,휘발유,3470,자동8,10.6,4등급,160,일반형
K8 3.5 GDI 19인치,기아,휘발유,3470,자동8,10.3,4등급,165,일반형
렉서스 LS500 AWD,토요타,휘발유,3445,자동10,7.9,5등급,220,일반형
렉서스 LS500h AWD,토요타,휘발유,3456,무단변속,9.6,4등급,175,일반형
T-Roc 2.0TDI,폭스바겐,경유,1968,자동7,16.5,1등급,112,다목적형
Mercedes-Benz GLB 200 d,벤츠,경유,1950,자동8,14.2,2등급,133,다목적형
Explorer 3.0,포드,휘발유,2956,자동10,8.3,5등급,205,다목적형
파나메라 4 E-하이브리드,포르쉐,전기+휘발유,2894,자동8,2.3 / 8.6,PHEV,56,일반형
Mercedes-Benz GLB 220,벤츠,휘발유,1991,자동8,10.8,4등급,165,다목적형
파나메라 4 E-하이브리드 (5인승),포르쉐,전기+휘발유,2894,자동8,2.3 / 8.6,PHEV,56,일반형
A7 45 TDI quattro ,아우디,경유,2967,자동7,13,3등급,147,일반형
A6 45 TDI quattro,아우디,경유,2967,자동7,12.9,3등급,148,일반형
A6 50 TDI quattro,아우디,경유,2967,자동8,11.7,3등급,165,일반형
MG ZS EV,(주) 케이모터,전기,,없음,4.3,고속(전기),0,다목적형
카이엔 E-하이브리드 COUPE,포르쉐,전기+휘발유,2995,자동8,1.8 / 8,PHEV,55,다목적형
카이엔 E-하이브리드 COUPE (5인승),포르쉐,전기+휘발유,2995,자동8,1.8 / 8,PHEV,55,다목적형
SQ5 Sportback TFSI,아우디,휘발유,2995,자동8,8.9,5등급,195,다목적형
마세라티 기블리 트로페오,마세라티,휘발유,3799,자동8,6.5,5등급,260,일반형
Q7 45 TDI quattro,아우디,경유,2967,자동8,10.6,4등급,183,다목적형
A8 50 TDI quattro,아우디,경유,2967,자동8,11.4,4등급,170,일반형
S7 TDI,아우디,경유,2967,자동8,11.5,4등급,168,일반형
A7 50 TDI quattro,아우디,경유,2967,자동8,11.9,3등급,162,일반형
Q7 50 TDI quattro,아우디,경유,2967,자동8,11,4등급,177,다목적형
Q7 45 TDI quattro,아우디,경유,2967,자동8,10.6,4등급,183,다목적형
S6 TDI,아우디,경유,2967,자동8,11.5,4등급,168,일반형
Q8 50 TDI quattro,아우디,경유,2967,자동8,10.4,4등급,187,다목적형
Q8 45 TDI quattro,아우디,경유,2967,자동8,10.9,4등급,177,다목적형
Tiguan 2.0TDI,폭스바겐,경유,1968,자동7,15.6,2등급,121,다목적형
카이엔 E-하이브리드,포르쉐,전기+휘발유,2995,자동8,1.8 / 8,PHEV,55,다목적형
Model Y Long Range,테슬라코리아 유한회사,전기,,없음,5.4,고속(전기),0,다목적형
Model Y Performance,테슬라코리아 유한회사,전기,,없음,4.8,고속(전기),0,다목적형
Model Y Long Range,테슬라코리아 유한회사,전기,,없음,5.4,고속(전기),0,다목적형
플러스(PLUS),(주) 한신자동차,전기,,없음,2.5,고속(전기),0,일반형
RS Q8,아우디,휘발유,3996,자동8,6.6,5등급,265,다목적형
CEVO-C SE,(주)캠시스,전기,,없음,6.3,고속(전기),0,일반형
Mercedes-Benz GLB250 4MATIC (7seater),벤츠,휘발유,1991,자동8,10.5,4등급,170,다목적형
"카니발 2.2디젤 하이리무진 9인승(18""/19""타이어)",기아,경유,2151,자동8,11.5,4등급,169,기타형
"카니발 2.2디젤 하이리무진 7인승(19""타이어)",기아,경유,2151,자동8,11,4등급,176,기타형
Mercedes-Benz A200 d,벤츠,경유,1950,자동8,16.1,1등급,116,일반형
Mercedes-AMG G63(Standard),벤츠,휘발유,3982,자동9,5.7,5등급,319,다목적형
짚 체로키 2.4 FWD,크라이슬러,휘발유,2360,자동9,10,4등급,172,다목적형
렉서스 UX250h AWD,토요타,휘발유,1987,무단변속,15,2등급,105,다목적형
Mercedes-Benz A220 Sedan,벤츠,휘발유,1991,자동7,11.9,3등급,149,일반형
Mercedes-Benz A220,벤츠,휘발유,1991,자동7,11.9,3등급,149,일반형
Flying Spur V8,벤틀리,휘발유,3996,자동8,6.8,5등급,258,일반형
Flying Spur V8,벤틀리,휘발유,3996,자동8,6.8,5등급,258,일반형
"QM6 New 2.0 DIESEL (4WD 19"" Tire)",르노삼성,경유,1997,무단변속,12.5,3등급,152,다목적형
"QM6 New 2.0 DIESEL (4WD 18"" Tire)",르노삼성,경유,1997,무단변속,12.7,3등급,150,다목적형
Mercedes-Benz GLA220,벤츠,휘발유,1991,자동8,11.5,4등급,150,다목적형
Mercedes-Benz GLC300 4MATIC Coupe,벤츠,휘발유,1991,자동9,9.2,5등급,194,다목적형
Mercedes-AMG G63,벤츠,휘발유,3982,자동9,5.7,5등급,319,다목적형
Mercedes-Benz GLC300 4MATIC,벤츠,휘발유,1991,자동9,9.2,5등급,194,다목적형
Ranger Raptor,포드,경유,1996,자동10,8.9,5등급,221,화물
Ranger Wildtrak,포드,경유,1996,자동10,10,4등급,195,화물
팰리세이드 2.2 디젤 2WD 7인 20인치 (21),현대,경유,2199,자동8,11.7,3등급,164,다목적형
팰리세이드 2.2 디젤 AWD 7인 18인치 (21),현대,경유,2199,자동8,11.4,4등급,170,다목적형
팰리세이드 2.2 디젤 AWD 7인 20인치 (21),현대,경유,2199,자동8,11.3,4등급,171,다목적형
팰리세이드 2.2 디젤 2WD 7인 18인치 (21),현대,경유,2199,자동8,12.4,3등급,155,다목적형
팰리세이드 2.2 디젤 2WD 8인 18인치 (21),현대,경유,2199,자동8,12.1,3등급,159,다목적형
팰리세이드 2.2 디젤 2WD 8인 20인치 (21),현대,경유,2199,자동8,11.7,3등급,164,다목적형
팰리세이드 2.2 디젤 AWD 8인 18인치 (21),현대,경유,2199,자동8,11.4,4등급,170,다목적형
팰리세이드 2.2 디젤 AWD 8인 20인치 (21),현대,경유,2199,자동8,11.3,4등급,171,다목적형
모하비 3.0 디젤 4WD 6인 18인치타이어 (21),기아,경유,2959,자동8,9.4,4등급,210,다목적형
모하비 3.0 디젤 4WD 6인 20인치타이어 (21),기아,경유,2959,자동8,9.2,5등급,214,다목적형
모하비 3.0 디젤 4WD 5인 20인치타이어 (21),기아,경유,2959,자동8,9.3,5등급,212,다목적형
모하비 3.0 디젤 4WD 7인 20인치타이어 (21),기아,경유,2959,자동8,9.2,5등급,214,다목적형
모하비 3.0 디젤 4WD 5인 18인치타이어 (21),기아,경유,2959,자동8,9.4,4등급,210,다목적형
모하비 3.0 디젤 4WD 7인 18인치타이어 (21),기아,경유,2959,자동8,9.3,5등급,212,다목적형
BMW 330i xDrive,BMW,휘발유,1998,자동8,11.2,4등급,152,일반형
BMW 330i,BMW,휘발유,1998,자동8,11.8,3등급,143,일반형
Mercedes-Benz C220 d 4MATIC,벤츠,경유,1950,자동9,13.6,3등급,140,일반형
BMW M4 Competition,BMW,휘발유,2993,자동8,8.3,5등급,206,일반형
BMW M3 Competition,BMW,휘발유,2993,자동8,8.3,5등급,208,일반형
BMW M440i xDrive,BMW,휘발유,2998,자동8,10.4,4등급,165,일반형
타이칸 4S,포르쉐,전기,,없음,3,고속(전기),0,일반형
짚 레니게이드 2.4 FWD,크라이슬러,휘발유,2360,자동9,9.8,4등급,174,다목적형
짚 체로키 2.4 AWD,크라이슬러,휘발유,2360,자동9,9.3,5등급,184,다목적형
코란도 1.6 디젤 6MT 2WD SCR Step2,쌍용,경유,1597,수동6,16,1등급,117,기타형
코란도 1.6 디젤 6AT 2WD SCR Step2 17인치 타이어,쌍용,경유,1597,자동6,14.3,2등급,132,기타형
코란도 1.6 디젤 6AT 2WD SCR Step2 19인치 타이어,쌍용,경유,1597,자동6,14.2,2등급,134,기타형
코란도 1.6 디젤 6AT AWD SCR Step2,쌍용,경유,1597,자동6,14.1,2등급,135,기타형
"셀토스 1.6디젤 4WD 18"" 타이어 (21)",기아,경유,1598,자동7,14.3,2등급,132,다목적형
"셀토스 1.6디젤 4WD 17"" 타이어 (21)",기아,경유,1598,자동7,14.8,2등급,127,다목적형
"셀토스 1.6디젤 4WD 16"" 타이어 (21)",기아,경유,1598,자동7,15.3,2등급,123,다목적형
"셀토스 1.6디젤 2WD 18"" 타이어 (21)",기아,경유,1598,자동7,16.1,1등급,116,다목적형
"셀토스 1.6디젤 2WD 17"" 타이어 (21)",기아,경유,1598,자동7,16.7,1등급,111,다목적형
"셀토스 1.6디젤 2WD 16"" 타이어 (21)",기아,경유,1598,자동7,17.1,1등급,109,다목적형
Mercedes-AMG GT63 S 4MATIC+ (5 seater),벤츠,휘발유,3982,자동9,7.2,5등급,246,일반형
렉서스 UX250h 2WD,토요타,휘발유,1987,무단변속,16.7,1등급,93,다목적형
레인지로버 스포츠 P400e,랜드로버,전기+휘발유,1997,자동8,1.9 / 7.6,PHEV,84,다목적형
재규어 F-Type SVR Convertible,재규어,휘발유,5000,자동8,8,5등급,217,일반형
재규어 F-Type SVR Coupe,재규어,휘발유,5000,자동8,8,5등급,217,일반형
재규어 F-Type P380 Convertible,재규어,휘발유,2995,자동8,8.6,5등급,198,일반형
재규어 F-Type P380 Coupe,재규어,휘발유,2995,자동8,8.6,5등급,198,일반형
재규어 F-Type P300 Convertible,재규어,휘발유,1997,자동8,9.8,4등급,172,일반형
재규어 F-Type P300 Coupe,재규어,휘발유,1997,자동8,9.8,4등급,172,일반형
스포티지 1.6디젤 4WD (PE/19“ 타이어)(21),기아,경유,1598,자동7,13.2,3등급,144,다목적형
스포티지 1.6디젤 4WD (PE/18“ 타이어)(21),기아,경유,1598,자동7,13.9,2등급,137,다목적형
스포티지 1.6디젤 4WD (PE/17“ 타이어)(21),기아,경유,1598,자동7,14,2등급,135,다목적형
스포티지 1.6디젤 2WD (PE/19“ 타이어)(21),기아,경유,1598,자동7,14.9,2등급,126,다목적형
스포티지 1.6디젤 2WD (PE/18“ 타이어)(21),기아,경유,1598,자동7,15.2,2등급,124,다목적형
스포티지 1.6디젤 2WD (PE/17“ 타이어)(21),기아,경유,1598,자동7,15.8,2등급,118,다목적형
BMW 430i Convertible,BMW,휘발유,1998,자동8,11.3,4등급,150,일반형
타이칸 4S (5인승),포르쉐,전기,,없음,3,고속(전기),0,일반형
Model 3 Long Range,테슬라코리아 유한회사,전기,,없음,5.6,고속(전기),0,일반형
Model 3 Standard Range Plus RWD,테슬라코리아 유한회사,전기,,없음,6.1,고속(전기),0,일반형
코나(OS PE) 2.0 가솔린 2WD_16인치타이어,현대,휘발유,1999,무단변속,13.6,3등급,122,다목적형
포트로(HMT-101),(주)디피코,전기,,없음,3.8,고속(전기),0,기타형
Q5 Sportback 40 TDI quattro,아우디,경유,1968,자동7,13,3등급,146,다목적형
Q5 40 TDI quattro,아우디,경유,1968,자동7,12.8,3등급,150,다목적형
Mercedes-AMG GT63 S 4MATIC+,벤츠,휘발유,3982,자동9,7.2,5등급,246,일반형
Model 3 Performance,테슬라코리아 유한회사,전기,,없음,5.1,고속(전기),0,일반형
Mercedes-AMG C63 S Coupe,벤츠,휘발유,3982,자동9,8.3,5등급,220,일반형
Touareg 4.0 TDI,폭스바겐,경유,3956,자동8,9.1,5등급,216,다목적형
Mercedes-Benz C200 Coupe,벤츠,휘발유,1991,자동9,10.8,4등급,158,일반형
T-ROC 2.0 TDI,폭스바겐,경유,1968,자동7,15.1,2등급,124,다목적형
RS 5 Sportback,아우디,휘발유,2894,자동8,8.6,5등급,203,일반형
RS 6 Avant,아우디,휘발유,3996,자동8,7,5등급,250,일반형
A5 Sportback 40 TDI quattro,아우디,경유,1968,자동7,15,2등급,125,일반형
파나메라 4,포르쉐,휘발유,2894,자동8,8,5등급,217,일반형
파나메라 4 이그제큐티브,포르쉐,휘발유,2894,자동8,8,5등급,217,일반형
토요타 Camry Hybrid LE,토요타,휘발유,2487,무단변속,18.5,1등급,84,일반형
Touareg 3.0 TDI,폭스바겐,경유,2967,자동8,10.3,4등급,188,다목적형
Mercedes-AMG A35 4MATIC (NEW),벤츠,휘발유,1991,자동7,10.3,4등급,174,일반형
Mercedes-AMG A45 4MATIC,벤츠,휘발유,1991,자동8,9,5등급,194,일반형
A5 Sportback 35 TDI,아우디,경유,1968,자동7,16.3,1등급,114,일반형
파나메라 4 (5인승),포르쉐,휘발유,2894,자동8,8,5등급,217,일반형
A6 40 TDI quattro,아우디,경유,1968,자동7,14.2,2등급,133,일반형
A4 40 TDI quattro,아우디,경유,1968,자동7,15.6,2등급,120,일반형
RS 7,아우디,휘발유,3996,자동8,7.4,5등급,239,일반형
718 카이맨 GTS 4.0,포르쉐,휘발유,3995,자동7,8.4,5등급,208,일반형
718 박스터 GTS 4.0,포르쉐,휘발유,3995,자동7,8.4,5등급,208,일반형
파나메라 터보 S,포르쉐,휘발유,3996,자동8,7.1,5등급,246,일반형
파나메라 터보 S (5인승),포르쉐,휘발유,3996,자동8,7.1,5등급,246,일반형
파나메라 GTS,포르쉐,휘발유,3996,자동8,7.1,5등급,247,일반형
파나메라 GTS (5인승),포르쉐,휘발유,3996,자동8,7.1,5등급,247,일반형
Mercedes-AMG GT-R,벤츠,휘발유,3982,자동7,7,5등급,248,일반형
코나(OS PE) 2.0 가솔린 2WD_17인치타이어,현대,휘발유,1999,무단변속,13.2,3등급,128,다목적형
코나(OS PE) 2.0 가솔린 2WD_18인치타이어,현대,휘발유,1999,무단변속,12.8,3등급,131,다목적형
코나(OS PE) 2.0 가솔린 4WD_16/17인치타이어,현대,휘발유,1999,무단변속,11.8,3등급,142,다목적형
코나(OS PE) 2.0 가솔린 4WD_18인치타이어,현대,휘발유,1999,무단변속,11.6,3등급,145,다목적형
BMW 620d,BMW,경유,1995,자동8,13.5,3등급,140,일반형
A6 40 TDI,아우디,경유,1968,자동7,15,2등급,126,일반형
Mercedes-Benz E 300 e 4MATIC FL,벤츠,전기+휘발유,1991,자동9,2.5 / 10.3,PHEV,60,일반형
Mercedes-AMG A35 4MATIC,벤츠,휘발유,1991,자동7,10.3,4등급,174,일반형
A4 35 TDI,아우디,경유,1968,자동7,16.9,1등급,110,일반형
Jetta 1.4 TSI,폭스바겐,휘발유,1395,자동8,13.4,3등급,126,일반형
Tiguan 2.0TDI 4Motion,폭스바겐,경유,1968,자동7,13.4,3등급,142,다목적형
BMW 420i Convertible,BMW,휘발유,1998,자동8,11.4,4등급,149,일반형
Jetta 1.4 TSI,폭스바겐,휘발유,1395,자동8,13.4,3등급,126,일반형
BMW X5 xDrive30d,BMW,경유,2993,자동8,10.7,4등급,181,다목적형
볼보 V90CCB5 AWD,볼보,휘발유,1969,자동8,10.3,4등급,164,다목적형
SQ5 TFSI,아우디,휘발유,2995,자동8,8.6,5등급,201,다목적형
토요타 Camry Hybrid,토요타,휘발유,2487,무단변속,17.1,1등급,91,일반형
토요타 Avalon Hybrid,토요타,휘발유,2487,무단변속,17,1등급,92,일반형
볼보 S60B5,볼보,휘발유,1969,자동8,11.6,3등급,145,일반형
Mercedes-Benz GLC300 e 4MATIC,벤츠,전기+휘발유,1991,자동9,2.3 / 9.4,PHEV,57,다목적형
Mercedes-Benz GLC300 e 4MATIC Coupe,벤츠,전기+휘발유,1991,자동9,2.3 / 9.4,PHEV,57,다목적형
카니발 3.5GDI 하이리무진 9인승 19인치,기아,휘발유,3470,자동8,8.7,5등급,196,기타형
Mercedes-Benz E250,벤츠,휘발유,1991,자동9,10.1,4등급,177,일반형
Mercedes-Benz E 450 4MATIC Coupe,벤츠,휘발유,2999,자동9,9.1,5등급,192,일반형
Mercedes-Benz E450 4MATIC Cabriolet ,벤츠,휘발유,2999,자동9,9.1,5등급,192,일반형
SMART EV Z,쎄미시스코,전기,,없음,5.8,고속(전기),0,일반형
Mercedes-AMG S63 4MATIC Coupe,벤츠,휘발유,3982,자동9,7.3,5등급,242,일반형
Mercedes-Benz  A250 4MATIC,벤츠,휘발유,1991,자동7,11.5,4등급,150,일반형
짚 랭글러 윌리스,크라이슬러,휘발유,1995,자동8,9,5등급,193,다목적형
레인지로버 스포츠 D300,랜드로버,경유,2997,자동8,10.5,4등급,185,다목적형
레인지로버 D350,랜드로버,경유,2997,자동8,9.5,4등급,206,다목적형
Mercedes-Benz E 450 4MATIC,벤츠,휘발유,2999,자동9,9.1,5등급,192,일반형
"렉스턴 2.2 8AT 2WD SCR Step2 5인승 ISG				",쌍용,경유,2157,자동8,11.6,3등급,167,다목적형
"렉스턴 2.2 8AT 4WD SCR Step2 5인승 ISG			",쌍용,경유,2157,자동8,11.1,4등급,175,다목적형
Mercedes-Benz GLC220 d 4MATIC,벤츠,경유,1950,자동9,12.4,3등급,154,다목적형
Mercedes-Benz E220 d 4MATIC,벤츠,경유,1950,자동9,13.2,3등급,145,일반형
BMW 840d xDrive Gran Coupe,BMW,경유,2993,자동8,12.8,3등급,150,일반형
카니발 3.5GDI 하이리무진 7인승 19인치,기아,휘발유,3470,자동8,8.4,5등급,205,기타형
카니발 3.5GDI 하이리무진 4인승 (19인치/20인치),기아,휘발유,3470,자동8,8.4,5등급,205,기타형
파워프라자 봉고3ev PEACE 더블캡,(주)파워프라자,전기,,없음,2,고속(전기),0,화물
레인지로버 D300,랜드로버,경유,2997,자동8,10.6,4등급,183,다목적형
A6 45 TFSI quattro,아우디,휘발유,1984,자동7,10.8,4등급,159,일반형
A6 45 TFSI,아우디,휘발유,1984,자동7,10.9,4등급,156,일반형
Q3 35 TDI quattro,아우디,경유,1968,자동7,14.2,2등급,134,다목적형
GV70 2.2디젤 AWD 21인치,현대,경유,2151,자동8,12,3등급,161,다목적형
GV70 2.2디젤 AWD 19인치,현대,경유,2151,자동8,12.4,3등급,155,다목적형
GV70 2.2디젤 2WD 21인치,현대,경유,2151,자동8,12.6,3등급,152,다목적형
GV70 2.2디젤 2WD 19인치,현대,경유,2151,자동8,13.2,3등급,145,다목적형
GV70 2.5T-GDI AWD 21인치,현대,휘발유,2497,자동8,9.2,5등급,186,다목적형
GV70 2.5T-GDI AWD 19인치,현대,휘발유,2497,자동8,9.7,4등급,176,다목적형
GV70 2.5T-GDI 2WD 21인치,현대,휘발유,2497,자동8,9.8,4등급,173,다목적형
GV70 2.5T-GDI 2WD 19인치,현대,휘발유,2497,자동8,10,4등급,170,다목적형
GV70 3.5T-GDI AWD 21인치,현대,휘발유,3470,자동8,8.3,5등급,207,다목적형
GV70 2.2디젤 AWD 21인치 (스포츠패키지),현대,경유,2151,자동8,12,3등급,161,다목적형
GV70 2.2디젤 AWD 19인치 (스포츠패키지),현대,경유,2151,자동8,12.4,3등급,155,다목적형
GV70 2.2디젤 AWD 18인치(빌트인캠),현대,경유,2151,자동8,12.8,3등급,150,다목적형
GV70 2.2디젤 AWD 18인치,현대,경유,2151,자동8,12.9,3등급,149,다목적형
GV70 2.2디젤 2WD 21인치 (스포츠패키지),현대,경유,2151,자동8,12.6,3등급,152,다목적형
GV70 2.2디젤 2WD 19인치 (스포츠패키지),현대,경유,2151,자동8,13.2,3등급,145,다목적형
GV70 2.2디젤 2WD 18인치 (빌트인캠),현대,경유,2151,자동8,13.5,3등급,141,다목적형
GV70 2.2디젤 2WD 18인치,현대,경유,2151,자동8,13.6,3등급,140,다목적형
GV70 2.5T-GDI AWD 21인치 (스포츠패키지),현대,휘발유,2497,자동8,9.2,5등급,186,다목적형
GV70 2.5T-GDI AWD 19인치 (스포츠패키지),현대,휘발유,2497,자동8,9.7,4등급,176,다목적형
GV70 2.5T-GDI AWD 18인치(빌트인캠),현대,휘발유,2497,자동8,9.7,4등급,176,다목적형
GV70 2.5T-GDI AWD 18인치,현대,휘발유,2497,자동8,9.8,4등급,174,다목적형
GV70 2.5T-GDI 2WD 21인치 (스포츠패키지),현대,휘발유,2497,자동8,9.8,4등급,173,다목적형
GV70 2.5T-GDI 2WD 19인치 (스포츠패키지),현대,휘발유,2497,자동8,10,4등급,170,다목적형
GV70 2.5T-GDI 2WD 18인치(빌트인캠),현대,휘발유,2497,자동8,10.6,4등급,160,다목적형
GV70 2.5T-GDI 2WD 18인치,현대,휘발유,2497,자동8,10.7,4등급,158,다목적형
GV70 3.5T-GDI AWD 21인치[썸머](스포츠패키지),현대,휘발유,3470,자동8,8.2,5등급,210,다목적형
GV70 3.5T-GDI AWD 21인치 (스포츠패키지),현대,휘발유,3470,자동8,8.3,5등급,207,다목적형
트레일블레이저 1.35 TURBO FWD,한국지엠,휘발유,1341,무단변속,12.6,3등급,133,다목적형
트레일블레이저 1.35 TURBO FWD,한국지엠,휘발유,1341,무단변속,12.9,3등급,129,다목적형
트레일블레이저 1.35 TURBO AWD,한국지엠,휘발유,1341,자동9,11.6,3등급,146,다목적형
"렉스턴 2.2 8AT 2WD SCR Step2 7인승 ISG				",쌍용,경유,2157,자동8,11.6,3등급,167,다목적형
GV70 3.5T-GDI AWD 19인치(빌트인캠),현대,휘발유,3470,자동8,8.5,5등급,202,다목적형
GV70 3.5T-GDI AWD 19인치,현대,휘발유,3470,자동8,8.6,5등급,200,다목적형
K5(DL3) 1.6T-GDI_17인치(빌트인캠)_21MY,기아,휘발유,1598,자동8,13.5,3등급,123,일반형
K5(DL3) 1.6T-GDI_17인치타이어_21MY,기아,휘발유,1598,자동8,13.6,3등급,122,일반형
트레일블레이저 1.35 TURBO AWD,한국지엠,휘발유,1341,자동9,11.8,3등급,143,다목적형
"Mercedes-Benz GLC220 d 4MATIC Coupe	",벤츠,경유,1950,자동9,12.4,3등급,154,다목적형
짚 글래디에이터,크라이슬러,휘발유,3604,자동8,6.5,5등급,269,화물
Q5 45 TFSI quattro,아우디,휘발유,1984,자동7,10.2,4등급,168,다목적형
Model S Long Range Plus,테슬라코리아 유한회사,전기,,없음,4.4,고속(전기),0,일반형
"렉스턴 2.2 8AT 4WD SCR Step2 7인승 ISG			",쌍용,경유,2157,자동8,11.1,4등급,175,다목적형
A8 L 55 TFSI quattro,아우디,휘발유,2995,자동8,8.7,5등급,201,일반형
BMW 730Ld xDrive,BMW,경유,2993,자동8,13,3등급,147,일반형
Mercedes-AMG GT,벤츠,휘발유,3982,자동7,7,5등급,248,일반형
페라리 SF90 Stradale,페라리,전기+휘발유,3990,자동8,2.7 / 7.4,PHEV,163,일반형
Model X Performance,테슬라코리아 유한회사,전기,,없음,3.8,고속(전기),0,다목적형
Model X Performance,테슬라코리아 유한회사,전기,,없음,3.8,고속(전기),0,다목적형
Model X Performance,테슬라코리아 유한회사,전기,,없음,3.8,고속(전기),0,다목적형
K5(DL3) 2.0CVVL_18인치(빌트인캠),기아,휘발유,1999,자동6,12.5,3등급,133,일반형
K5(DL3) 2.0CVVL_17인치(빌트인캠),기아,휘발유,1999,자동6,12.8,3등급,130,일반형
K5(DL3) 1.6T-GDI_19인치(빌트인캠),기아,휘발유,1598,자동8,12.6,3등급,132,일반형
Model X Long Range Plus,테슬라코리아 유한회사,전기,,없음,4,고속(전기),0,다목적형
Model X Long Range Plus,테슬라코리아 유한회사,전기,,없음,4,고속(전기),0,다목적형
페라리 SF90 Stradale Assetto Fiorano,페라리,전기+휘발유,3990,자동8,2.7 / 7.4,PHEV,163,일반형
Model S Performance,테슬라코리아 유한회사,전기,,없음,4.3,고속(전기),0,일반형
Model X Long Range Plus,테슬라코리아 유한회사,전기,,없음,4,고속(전기),0,다목적형
Mercedes-Benz GLA250 4MATIC,벤츠,휘발유,1991,자동8,10.5,4등급,170,다목적형
Mercedes-AMG GT-C Roadster,벤츠,휘발유,3982,자동7,7,5등급,248,일반형
Mercedes-Benz GLB250 4MATIC,벤츠,휘발유,1991,자동8,10.5,4등급,170,다목적형
마이브 M1,투데이션샤인,전기,,없음,5.5,고속(전기),0,기타형
BMW 630d xDrive,BMW,경유,2993,자동8,13.1,3등급,146,일반형
G70(IK PE) 2.0T-GDI 2WD 19인치(올시즌)_SP,현대,휘발유,1998,자동8,10.5,4등급,162,일반형
마세라티 르반떼 GTS,마세라티,휘발유,3799,자동8,5.8,5등급,291,다목적형
마세라티 르반떼 트로페오,마세라티,휘발유,3799,자동8,5.8,5등급,291,다목적형
마세라티 콰트로포르테 S Q4,마세라티,휘발유,2979,자동8,6.5,5등급,259,일반형
BMW 320i,BMW,휘발유,1998,자동8,11.8,3등급,142,일반형
Rolls Royce Ghost EWB,롤스로이스,휘발유,6749,자동8,5.8,5등급,300,일반형
Rolls Royce Ghost,롤스로이스,휘발유,6749,자동8,5.7,5등급,308,일반형
Aventador SVJ Coupe,람보르기니,휘발유,6498,자동7,4.6,5등급,390,일반형
BMW 640i xDrive,BMW,휘발유,2998,자동8,9.6,4등급,179,일반형
BMW 620d xDrive,BMW,경유,1995,자동8,13.2,3등급,145,일반형
BMW X7 xDrive40d,BMW,경유,2993,자동8,10.5,4등급,184,다목적형
BMW 620d,BMW,경유,1995,자동8,12.7,3등급,151,일반형
G70(IK PE) 2.0T-GDI 2WD 19인치(올시즌),현대,휘발유,1998,자동8,10.5,4등급,162,일반형
G70(IK PE) 2.0T-GDI 2WD 19인치(썸머)_SP,현대,휘발유,1998,자동8,10.4,4등급,163,일반형
G70(IK PE) 2.0T-GDI AWD 19인치(썸머)_SP,현대,휘발유,1998,자동8,9.3,5등급,184,일반형
G70(IK PE) 2.0T-GDI AWD 19인치(올시즌)_SP,현대,휘발유,1998,자동8,9.5,4등급,180,일반형
G70(IK PE) 2.0T-GDI 2WD 18인치(빌트인캠),현대,휘발유,1998,자동8,10.5,4등급,162,일반형
G70(IK PE) 2.0T-GDI 2WD 18인치타이어,현대,휘발유,1998,자동8,10.7,4등급,158,일반형
G70(IK PE) 2.0T-GDI AWD 18인치(빌트인캠),현대,휘발유,1998,자동8,9.7,4등급,176,일반형
G70(IK PE) 2.0T-GDI AWD 18인치타이어,현대,휘발유,1998,자동8,9.9,4등급,172,일반형
G70(IK PE) 2.0T-GDI 2WD 19인치(썸머),현대,휘발유,1998,자동8,10.4,4등급,163,일반형
G70(IK PE) 2.0T-GDI AWD 19인치(썸머),현대,휘발유,1998,자동8,9.3,5등급,184,일반형
