모델명,제조사,유종,배기량,변속형식,복합연비,등급,배출량(CO2),자동차유형
볼보 V90CCB5 AWD,볼보,휘발유,1969,자동8,10.6,4등급,160,다목적형
볼보 V60CCB5 AWD,볼보,휘발유,1969,자동8,9.9,4등급,171,다목적형
볼보 XC40B4 AWD,볼보,휘발유,1969,자동8,10.1,4등급,169,다목적형
볼보 XC60B5 AWD,볼보,휘발유,1969,자동8,9.5,4등급,180,다목적형
BMW X4 M Competition,BMW,휘발유,2993,자동8,7.8,5등급,222,다목적형
Passat GT 2.0TDI 4Motion,폭스바겐,경유,1968,자동7,14.3,2등급,133,일반형
Mercedes-Benz A250 4MATIC,벤츠,휘발유,1991,자동7,11.2,4등급,151,일반형
Mercedes-Benz A220,벤츠,휘발유,1991,자동7,11.9,3등급,141,일반형
페라리 SF90 Spider,페라리,전기+휘발유,3990,자동8,2.6 / 7.2,PHEV,122,일반형
"Mercedes-Benz E300 d 4MATIC Coupe	",벤츠,경유,1993,자동9,13.4,3등급,142,일반형
마세라티 MC20,마세라티,휘발유,2992,자동8,7,5등급,239,일반형
BMW X4 xDrive20d,BMW,경유,1995,자동8,12.3,3등급,156,다목적형
BMW X3 xDrive20d,BMW,경유,1995,자동8,12.2,3등급,157,다목적형
A5 Sportback 40 TFSI quattro,아우디,휘발유,1984,자동7,12,3등급,142,일반형
A4 40 TFSI,아우디,휘발유,1984,자동7,12.4,3등급,136,일반형
Mercedes-Benz GLC300 4MATIC,벤츠,휘발유,1991,자동9,8.5,5등급,201,다목적형
Rolls Royce Ghost Black Badge,롤스로이스,휘발유,6749,자동8,5.6,5등급,315,일반형
Mercedes-Maybach S580 4MATIC (4Seater),벤츠,휘발유,3982,자동9,7.3,5등급,238,일반형
"Mercedes-Benz CLS300 d 4MATIC	",벤츠,경유,1993,자동9,13.9,2등급,137,일반형
재규어 F-PACE P250,재규어,휘발유,1997,자동8,8.6,5등급,197,다목적형
페라리 SF90 Spider Assetto Fiorano,페라리,전기+휘발유,3990,자동8,2.6 / 7.2,PHEV,122,일반형
911 터보 S (2인승),포르쉐,휘발유,3745,자동8,6.8,5등급,257,일반형
Peugeot 3008 1.2 Puretech,PSA Automobiles,휘발유,1199,자동8,12.2,3등급,134,다목적형
스포티지 1.6T-GDI 하이브리드 4WD 6AT (빌트인캠),기아,휘발유,1598,자동6,14.8,2등급,110,다목적형
스포티지 1.6T-GDI 하이브리드 4WD 6AT,기아,휘발유,1598,자동6,15.2,2등급,107,다목적형
재규어 F-PACE D200,재규어,경유,1998,자동8,12.5,3등급,153,다목적형
Mercedes-Benz S500 4MATIC,벤츠,휘발유,2999,자동9,9.5,4등급,180,일반형
BMW X3 M Competition,BMW,휘발유,2993,자동8,7.7,5등급,224,다목적형
Mercedes-Benz S450 4MATIC,벤츠,휘발유,2999,자동9,9.7,4등급,177,일반형
BMW X4 M40i,BMW,휘발유,2998,자동8,8.5,5등급,200,다목적형
BMW 420i Gran Coupe,BMW,휘발유,1998,자동8,11.2,4등급,150,일반형
Mercedes-Benz S580 4MATIC,벤츠,휘발유,3982,자동9,7.5,5등급,232,일반형
Mercedes-Benz GLE350 e 4MATIC ,벤츠,전기+휘발유,1991,자동9,2.5 / 9,PHEV,45,다목적형
재규어 F-PACE D300,재규어,경유,2997,자동8,11.3,4등급,170,다목적형
"Mercedes-Maybach S580 4MATIC	",벤츠,휘발유,3982,자동9,7.3,5등급,238,일반형
Mercedes-Benz GLA250 4MATIC,벤츠,휘발유,1991,자동8,10.3,4등급,165,다목적형
Mercedes-Benz A220 Sedan,벤츠,휘발유,1991,자동7,11.7,3등급,145,일반형
e-tron GT quattro,아우디,전기,,없음,3.7,고속(전기),0,일반형
GV60 4WD 19인치,현대,전기,,없음,4.5,고속(전기),0,다목적형
GV60 4WD 20인치,현대,전기,,없음,4.3,고속(전기),0,다목적형
GV80(22MY) 3.5T-GDI AWD 5인 22인치타이어,현대,휘발유,3470,자동8,7.8,5등급,221,다목적형
GV80(22MY) 3.5T-GDI AWD 6인 20인치타이어,현대,휘발유,3470,자동8,7.8,5등급,221,다목적형
GV80(22MY) 3.5T-GDI AWD 6인 22인치타이어,현대,휘발유,3470,자동8,7.8,5등급,221,다목적형
GV80(22MY) 3.5T-GDI AWD 7인 20인치타이어,현대,휘발유,3470,자동8,7.8,5등급,221,다목적형
GV80(22MY) 3.5T-GDI AWD 7인 22인치타이어,현대,휘발유,3470,자동8,7.8,5등급,221,다목적형
GV80(22MY) 3.5T-GDI AWD 5인 20인치타이어,현대,휘발유,3470,자동8,8,5등급,215,다목적형
GV80(22MY) 3.5T-GDI 2WD 5인 20인치타이어,현대,휘발유,3470,자동8,8.6,5등급,199,다목적형
GV80(22MY) 3.5T-GDI 2WD 5인 20인치타이어(빌트인캠),현대,휘발유,3470,자동8,8.4,5등급,205,다목적형
Mercedes-Benz CLA250 4MATIC,벤츠,휘발유,1991,자동7,10.8,4등급,158,일반형
Mercedes-Benz C200 Coupe,벤츠,휘발유,1991,자동9,10.6,4등급,161,일반형
Mercedes-Benz C200 Cabriolet,벤츠,휘발유,1991,자동9,10,4등급,171,일반형
"Mercedes-Benz GLE350 e 4MATIC Coupe	",벤츠,전기+휘발유,1991,자동9,2.5 / 9,PHEV,45,다목적형
CHEVROLET BOLT EUV,GM,전기,,없음,5.5,고속(전기),0,일반형
GV80(22MY) 3.0디젤 2WD 5인 20인치 타이어,현대,경유,2996,자동8,11.6,3등급,167,다목적형
GV80(22MY) 3.0디젤 2WD 5인 22인치 타이어,현대,경유,2996,자동8,11.6,3등급,167,다목적형
GV80(22MY) 3.0디젤 2WD 6인 19인치 타이어,현대,경유,2996,자동8,11.2,4등급,173,다목적형
GV80(22MY) 3.0디젤 2WD 6인 20인치 타이어,현대,경유,2996,자동8,11.2,4등급,173,다목적형
GV80(22MY) 3.0디젤 2WD 6인 22인치 타이어,현대,경유,2996,자동8,11.2,4등급,173,다목적형
